Fertilizer added cubic feet),Fertilizer (cubic_feet),Mulch added (inches),Mulch (inches),Rain(gallons),Watering(gallons),Nutrition Lvl %,Moisture %,Sun/TempF,Weekly Yield (lbs of berries)
0,0,6,6,0.86,10,75,75,49,43
0,0,0,5.85,0.87,,79,78,50,45
0,0,0,5.7,0.88,10,82,77,52,41
0,0,0,5.55,0.87,,86,79,53,51
0,0,0,5.4,0.86,10,89,79,54,57
0,0,0,5.25,0.83,,91,81,55,51
0,0,0,5.1,0.81,10,94,80,57,58
0,0,0,4.95,0.78,,96,82,58,68
0,0,0,4.8,0.74,10,98,81,60,64
0,0,0,4.65,0.7,,99,83,61,75
0,0,0,4.5,0.66,10,100,82,63,78
0,0,0,4.35,0.62,,100,84,65,81
0,0,0,4.2,0.57,10,100,82,66,83
0,0,0,4.05,0.53,,100,84,68,86
0,0,0,3.9,0.48,10,99,82,70,83
0,0,0,3.75,0.43,,98,83,71,89
0,0,0,3.6,0.38,10,97,82,73,100
0,0,0,3.45,0.34,,94,83,75,96
0,0,0,3.3,0.29,10,92,81,76,93
0,0,0,3.15,0.25,,89,81,78,89
0,0,0,3,0.21,10,86,79,79,86
0,0,0,2.85,0.17,,84,80,81,93
0,0,0,2.7,0.13,10,80,77,82,83
0,0,0,2.55,0.1,,77,77,83,85
0,0,0,2.4,0.07,10,74,75,85,86
0,0,0,2.25,0.05,,70,75,86,74
0,0,4,6.1,0.03,10,67,72,87,77
0,0,0,5.95,0.01,,67,74,88,77
0,0,0,5.8,0,10,68,73,88,78
0,0,0,5.65,-0.01,,68,75,89,80
0,0,0,5.5,-0.01,10,68,75,89,73
0,0,0,5.35,-0.01,,69,76,90,77
0,0,0,5.2,-0.01,10,69,76,90,82
0,0,0,5.05,0,,69,77,90,77
0,0,0,4.9,0.02,10,69,76,90,72
0,0,0,4.75,0.04,,70,77,89,84
0,0,0,4.6,0.07,10,69,76,89,75
0,0,0,4.45,0.1,,70,77,88,85
0,0,0,4.3,0.13,10,69,76,87,80
0,0,0,4.15,0.17,,69,77,86,86
0,0,0,4,0.22,10,69,75,84,84
0,0,0,3.85,0.26,,68,76,83,89
0,0,0,3.7,0.32,10,67,74,81,82
0,0,0,3.55,0.37,,66,75,78,79
0,0,0,3.4,0.43,10,66,73,76,82
0,0,0,3.25,0.5,,64,74,73,79
0,0,0,3.1,0.56,10,63,72,70,69
0,0,0,2.95,0.63,,62,72,67,75
0,0,0,2.8,0.7,10,60,70,63,65
0,0,0,2.65,0.78,,60,71,59,56
0,0,0,2.5,0.85,10,59,69,55,48
0,0,0,2.35,0.93,,59,70,51,35
0,0,6,6,1.07,10,75,75,59,57
0,0,0,5.92,1.09,,77,77,50,42
0,0,0,5.85,1.09,10,81,77,52,41
0,0,0,5.77,1.09,,85,79,53,48
0,0,0,5.69,1.07,10,88,79,54,53
0,0,0,5.62,1.04,,91,81,55,57
0,0,0,5.54,1.01,10,93,80,57,58
0,0,0,5.46,0.97,,95,82,58,63
0,0,0,5.38,0.93,10,97,82,60,75
0,0,0,5.31,0.88,,98,84,61,67
0,0,0,5.23,0.83,10,99,83,63,83
0,0,0,5.15,0.77,,99,85,65,76
0,0,0,5.08,0.71,10,99,84,66,82
0,0,0,5,0.65,,99,86,68,78
0,0,0,4.92,0.59,10,99,85,70,79
0,0,0,4.85,0.53,,99,87,71,83
0,0,0,4.77,0.47,10,99,86,73,86
0,0,0,4.69,0.41,,98,87,75,94
0,0,0,4.62,0.35,10,97,86,76,90
0,0,0,4.54,0.29,,96,87,78,98
0,0,0,4.46,0.24,10,94,86,79,93
0,0,0,4.38,0.19,,93,87,81,82
0,0,0,4.31,0.14,10,93,86,82,91
0,0,0,4.23,0.1,,91,87,83,90
0,0,0,4.15,0.06,10,90,86,85,87
0,0,0,4.08,0.03,,90,86,86,83
0,0,4,4,0,10,89,85,87,84
0,0,0,3.92,-0.02,,89,86,88,85
0,0,0,3.85,-0.04,10,88,84,88,81
0,0,0,3.77,-0.05,,88,84,89,85
0,0,0,3.69,-0.06,10,87,82,89,89
0,0,0,3.62,-0.06,,85,83,90,81
0,0,0,3.54,-0.05,10,85,81,90,85
0,0,0,3.46,-0.04,,83,81,90,86
0,0,0,3.38,-0.02,10,81,79,90,84
0,0,0,3.31,0,,80,79,89,80
0,0,0,3.23,0.03,10,78,77,89,85
0,0,0,3.15,0.07,,76,77,88,91
0,0,0,3.08,0.11,10,74,75,87,87
0,0,0,3,0.16,,71,75,86,81
0,0,0,2.92,0.22,10,69,73,84,74
0,0,0,2.85,0.28,,67,73,83,87
0,0,0,2.77,0.34,10,64,71,81,79
0,0,0,2.69,0.42,,62,71,78,73
0,0,0,2.62,0.49,10,60,68,76,73
0,0,0,2.54,0.57,,58,69,73,66
0,0,0,2.46,0.66,10,57,66,70,61
0,0,0,2.38,0.75,,55,67,67,52
0,0,0,2.31,0.84,10,55,64,63,60
0,0,0,2.23,0.93,,54,65,59,46
0,0,0,2.15,1.03,10,53,63,55,37
